text,label,drug,text_clean
"yo siempre nomas fume marihuana y la primera vez dije bueno aber le acepto una pitada de tabaco a alguien claramente le di como si fuera un porro y quise mandar el humo a pulmon, no quiero ni saber la cara de mogolico que se me puso pero fue mas o menos asi",POSITIVE,Marihuana,"yo siempre nomas fume marihuana y la primera vez dije bueno aber le acepto una pitada de tabaco a alguien claramente le di como si fuera un porro y quise mandar el humo a pulmon, no quiero ni saber la cara de mogolico que se me puso pero fue mas o menos asi"
Literal hoy tuve que tomar una línea de falopa para no dormirme en la clase por pasar de largo,POSITIVE,Cocaína,literal hoy tuve que tomar una línea de falopa para no dormirme en la clase por pasar de largo
¿Es muy temprano para inyectarme heroína por cuarta vez esta mañana?,POSITIVE,Heroína,¿es muy temprano para inyectarme heroína por cuarta vez esta mañana?
quiero un porro o tres,POSITIVE,Marihuana,quiero un porro o tres
@elvirapalacios exactamente. Los padres deben recibir todos los consejos y luego decidir q accion tomar. Una linea muy delgada.,NEGATIVE,Cocaína,@elvirapalacios exactamente. los padres deben recibir todos los consejos y luego decidir q accion tomar. una linea muy delgada.
Porfavor hoy necesito extasis o algo de esta puta literatura y lo peor es que no llevo ni 1 hora.,NEGATIVE,Ecstasy,porfavor hoy necesito extasis o algo de esta puta literatura y lo peor es que no llevo ni 1 hora.
Yo estoy relajado *__* me acabo de casar osea :D necesito Extasis y Vodka *__*,POSITIVE,Ecstasy,yo estoy relajado *__* me acabo de casar osea :d necesito extasis y vodka *__*
"Todos miran la moneda menos Maradona, que mira al capitán rival. ¿Cómo no vas a salir campeón? Para mi que estaba pensando en ""que ganas de tomarme una línea que tengo dios mío"" deah",NEGATIVE,Cocaína,"todos miran la moneda menos maradona, que mira al capitán rival. ¿cómo no vas a salir campeón? para mi que estaba pensando en ""que ganas de tomarme una línea que tengo dios mío"" deah"
nunca podría inyectarme heroína: tengo pésimo pulso,NEGATIVE,Heroína,nunca podría inyectarme heroína: tengo pésimo pulso
no tengo ganas d nada me voy a fumar un porro y quedar así básicamente como todos los dias pq soy un al pedo desempleado por,POSITIVE,Marihuana,no tengo ganas d nada me voy a fumar un porro y quedar así básicamente como todos los dias pq soy un al pedo desempleado por
"En Sanse nos ha adelantado un chico fumando un porro en un trineo.
Que el barrio no pierda nunca su esencia.",NEGATIVE,Marihuana,en sanse nos ha adelantado un chico fumando un porro en un trineo. que el barrio no pierda nunca su esencia.
unas ganas de tomar una raya de merca,POSITIVE,Cocaína,unas ganas de tomar una raya de merca
Amixes ayer prendí un porro y me queme las pestañas. 😭❤️ por la recuperación de mis pestañas,POSITIVE,Marihuana,amixes ayer prendí un porro y me queme las pestañas. :cara_llorando_fuerte: :corazón_rojo: por la recuperación de mis pestañas
Hay que ser suicida para tomar una línea aérea rosarina. Yo en Rosario no me subo ni a los ascensores porque tengo respeto por la vida,NEGATIVE,Cocaína,hay que ser suicida para tomar una línea aérea rosarina. yo en rosario no me subo ni a los ascensores porque tengo respeto por la vida
"Batidodía1: leche de soya, chía, arándano, fresa, mango y almendras, me siento tan saludable que  voy a inyectarme heroína para equilibrar.",NEGATIVE,Heroína,"batidodía1: leche de soya, chía, arándano, fresa, mango y almendras, me siento tan saludable que voy a inyectarme heroína para equilibrar."
con ganas de inyectarme heroina,POSITIVE,Heroína,con ganas de inyectarme heroina
Anoche soñé q me llegaba el libro que pedí de Amazon y luego dos amigas me obligaban a inyectarme heroína. Con estos sueños no necesito Netflix 🍿,NEGATIVE,Heroína,anoche soñé q me llegaba el libro que pedí de amazon y luego dos amigas me obligaban a inyectarme heroína. con estos sueños no necesito netflix :palomitas:
"Quiero ingresar a la policía para tomar merca y flashearla con acción callejera. Yeahh,",POSITIVE,Cocaína,"quiero ingresar a la policía para tomar merca y flashearla con acción callejera. yeahh,"
ya voy por la s6 de Mad Men y se están fumando un porro en Hawaii y yo acá ENCERRADO HASTA CUANDO A ALBERTO SE LE CANTE LAS PELOTAS,NEGATIVE,Marihuana,ya voy por la s6 de mad men y se están fumando un porro en hawaii y yo acá encerrado hasta cuando a alberto se le cante las pelotas
"cuando toy re mal y ansiosa lo unico q quiero hacer es SER FLACA es muy turbio, es como q me agarran ganas d tomarme una linea d merca pero de ser flaca",NEGATIVE,Cocaína,"cuando toy re mal y ansiosa lo unico q quiero hacer es ser flaca es muy turbio, es como q me agarran ganas d tomarme una linea d merca pero de ser flaca"
"Como cuando dije que no sabía si inyectarme heroína o enamorarme, y pos efectivamente, sí me trae Eduardo bien pendeja amiguitos.",NEGATIVE,Heroína,"como cuando dije que no sabía si inyectarme heroína o enamorarme, y pos efectivamente, sí me trae eduardo bien pendeja amiguitos."
tranquilamente lo podría ver acá en zona oeste en una vereda tomando esa birra con amigos y fumándose un porro a la tardecita no me jodan,NEGATIVE,Marihuana,tranquilamente lo podría ver acá en zona oeste en una vereda tomando esa birra con amigos y fumándose un porro a la tardecita no me jodan
"Este verano estuve en un bar que tenia un 420 gigante en la pared con imagenes alusivas a la marihuana, me prendí un porro y me quisieron echar.",POSITIVE,Marihuana,"este verano estuve en un bar que tenia un 420 gigante en la pared con imagenes alusivas a la marihuana, me prendí un porro y me quisieron echar."
odio el alcohol ew definitivamente nunca más prefiero inyectarme heroina,POSITIVE,Heroína,odio el alcohol ew definitivamente nunca más prefiero inyectarme heroina
Le ves la cara a Abal Medina y sentís que siempre se puede tomar una raya más.,NEGATIVE,Cocaína,le ves la cara a abal medina y sentís que siempre se puede tomar una raya más.
Es mas barato tomar merca que tomarse un taxi.,NEGATIVE,Cocaína,es mas barato tomar merca que tomarse un taxi.
Llegué a un punto de estrés de no retorno en el cual necesito inyectarme heroína en un ojo o que me den un abrazo y llorar un ratito.,NEGATIVE,Heroína,llegué a un punto de estrés de no retorno en el cual necesito inyectarme heroína en un ojo o que me den un abrazo y llorar un ratito.
Cómo le explico a la gente que los moretones que tengo en los brazos es de llevar 4 botellas mas una panera y 7 platos a las corridas y no de inyectarme heroina¿,NEGATIVE,Heroína,cómo le explico a la gente que los moretones que tengo en los brazos es de llevar 4 botellas mas una panera y 7 platos a las corridas y no de inyectarme heroina¿
Bueno y que hermoso momento para tomar una linea,POSITIVE,Cocaína,bueno y que hermoso momento para tomar una linea
"No necesito extasis ni cocaina, la musica me lleva a otro mundo donde yo soy el unico rey.",NEGATIVE,Ecstasy,"no necesito extasis ni cocaina, la musica me lleva a otro mundo donde yo soy el unico rey."
Que ganas de tomar una linea,POSITIVE,Cocaína,que ganas de tomar una linea
esa cantidad de azucar creo q tomarme una linea de merca es mas sano que una taza de ese té https:///iNabber69/status/1235614615964282881…,NEGATIVE,Cocaína,esa cantidad de azucar creo q tomarme una linea de merca es mas sano que una taza de ese té
La profesora dice que hay que tomar una linea jajajajaja re loca,NEGATIVE,Cocaína,la profesora dice que hay que tomar una linea [IRONIA] re loca
me gustaria tomarme una linea de merca sobre tu espalda desnuda mientras hacemos el amor apasionadamen... — awwww ♥ http://,POSITIVE,Cocaína,me gustaria tomarme una linea de merca sobre tu espalda desnuda mientras hacemos el amor apasionadamen... — awwww :palo_de_corazones:
"Este es el momento en el que me gustaría inyectarme heroína, porque me da miedo la oscuridad.",POSITIVE,Heroína,"este es el momento en el que me gustaría inyectarme heroína, porque me da miedo la oscuridad."
necesito inyectarme heroína o algo asi,POSITIVE,Heroína,necesito inyectarme heroína o algo asi
Necesito éxtasis.,POSITIVE,Ecstasy,necesito éxtasis.
"Mi abuela: tengo sueño, me voy a tomar algo... Me voy a tomar una linea",NEGATIVE,Cocaína,"mi abuela: tengo sueño, me voy a tomar algo... me voy a tomar una linea"
Me levanté a hacerme una chocolatada y mí vieja se estaba fumando un porro,NEGATIVE,Marihuana,me levanté a hacerme una chocolatada y mí vieja se estaba fumando un porro
"🚨 Congreso aprobó por insistencia PL fujimorista para enseñar Historia del Terrorismo en colegios

Como informó La República, la pretensión de incluir la narrativa oficialista sobre la guerra interna en las aulas se remonta al 2017. Pésimo, deben enseñar Educación Cívica para que tengan base al momento de tomar una línea política como es después de los 18 años",NEGATIVE,Cocaína,":luces_de_policía: congreso aprobó por insistencia pl fujimorista para enseñar historia del terrorismo en colegios como informó la república, la pretensión de incluir la narrativa oficialista sobre la guerra interna en las aulas se remonta al 2017. pésimo, deben enseñar educación cívica para que tengan base al momento de tomar una línea política como es después de los 18 años"
La ciencia habla: ¿Qué hace más daño al cerebro: una copa o un porro de marihuana? http://,NEGATIVE,Marihuana,la ciencia habla: ¿qué hace más daño al cerebro: una copa o un porro de marihuana?
"""@Garavito_Javier: @andre_rosales24 yo apenas veo ese programa me dan ganas de inyectarme heroina para verlo en 5d"" así es nojoda ...jajaja",NEGATIVE,Heroína,"""@garavito_javier: @andre_rosales24 yo apenas veo ese programa me dan ganas de inyectarme heroina para verlo en 5d"" así es nojoda ... [IRONIA]"
Re esta para tomar merca,POSITIVE,Cocaína,re esta para tomar merca
"Como me gustaría que legalizen la cocaína, para compra un bolsa en lo de mi tía, para tomar una linea con mi abuela",POSITIVE,Cocaína,"como me gustaría que legalizen la cocaína, para compra un bolsa en lo de mi tía, para tomar una linea con mi abuela"
me voy a tomar merca,POSITIVE,Cocaína,me voy a tomar merca
Tengo alergia en los brazos de inyectarme heroína pero bueno vio,POSITIVE,Heroína,tengo alergia en los brazos de inyectarme heroína pero bueno vio
necesito éxtasis de felicidad :) para poder seguir con mi vida normalmente pero el problema es donde las consigo? :s #inpotensia,NEGATIVE,Ecstasy,necesito éxtasis de felicidad :) para poder seguir con mi vida normalmente pero el problema es donde las consigo? :s #inpotensia
"...Felicidad? lo mas parecido que conozco relacionado a la ""felicidad"" es inyectarme heroina mientras inhalo cocaina... :v ''",POSITIVE,Heroína,"...felicidad? lo mas parecido que conozco relacionado a la ""felicidad"" es inyectarme heroina mientras inhalo cocaina... :v ''"
"La musica es vida
Prefiero inyectarme ritmo y bailar
Que inyectarme heroína y morir",NEGATIVE,Heroína,la musica es vida prefiero inyectarme ritmo y bailar que inyectarme heroína y morir
"Pq la gente habla tipo, 
Madre fue a comprar o padre fue a tomar una línea de cocaína.
Es tipo cool? 
Primo está en Alemania drogado",NEGATIVE,Cocaína,"pq la gente habla tipo, madre fue a comprar o padre fue a tomar una línea de cocaína. es tipo cool? primo está en alemania drogado"
alguno para tomar una linea,POSITIVE,Cocaína,alguno para tomar una linea
No necesito éxtasis si sonríes.,NEGATIVE,Ecstasy,no necesito éxtasis si sonríes.
"@Pleeins vestite bien mañana... vamos a bailar, no a tomar merca a una casa abandonada",NEGATIVE,Cocaína,"@pleeins vestite bien mañana... vamos a bailar, no a tomar merca a una casa abandonada"
"le estaba mostrando una foto en mi telefono a mi abuela, corri a la izquierda y habia un porro enorme",NEGATIVE,Marihuana,"le estaba mostrando una foto en mi telefono a mi abuela, corri a la izquierda y habia un porro enorme"
por culpa de dónde trabajo tengo q escuchar musica onda de boliche casi todos los días entonces llegar a casa y escuchar almafuerte es como inyectarme heroína,NEGATIVE,Heroína,por culpa de dónde trabajo tengo q escuchar musica onda de boliche casi todos los días entonces llegar a casa y escuchar almafuerte es como inyectarme heroína
la que se fumo un porro es mi vecina,NEGATIVE,Marihuana,la que se fumo un porro es mi vecina
"Mi viejo me mira como si fuera a inyectarme heroína. Bancá man tan asqueroso ibas a ser, es un remedio chabón.",NEGATIVE,Heroína,"mi viejo me mira como si fuera a inyectarme heroína. bancá man tan asqueroso ibas a ser, es un remedio chabón."
"Ya he puesto una lavadora, la ropa está tendida, fregado los platos, tinte naranja en el pelo y es momento para FUMARME UN PORRO MÁS GRANDE QUE MI CABEZA Y DESCANSAR.",POSITIVE,Marihuana,"ya he puesto una lavadora, la ropa está tendida, fregado los platos, tinte naranja en el pelo y es momento para fumarme un porro más grande que mi cabeza y descansar."
Unas ganas de fumarme un porro en el solcito,POSITIVE,Marihuana,unas ganas de fumarme un porro en el solcito
"inyectarme heroína? no gracias, yo me inyecto música",NEGATIVE,Heroína,"inyectarme heroína? no gracias, yo me inyecto música"
"Fumo porro, palabras más palabras menos, desde que tengo 16. Y con intermitencia y períodos en los que no. Nunca se me hubiese ocurrido tomar una raya de la mogólica. Le tengo TERROR.",POSITIVE,Cocaína,"fumo porro, palabras más palabras menos, desde que tengo 16. y con intermitencia y períodos en los que no. nunca se me hubiese ocurrido tomar una raya de la mogólica. le tengo terror."
Que hacen cuando están en modo depre? Tomar merca sin limite alguno,POSITIVE,Cocaína,que hacen cuando están en modo depre? tomar merca sin limite alguno
"uno m mandó un video de la nada de una bolsita d merca y me dice ""algún día voy a tomarme una línea en tu culo"" 😂",NEGATIVE,Cocaína,"uno m mandó un video de la nada de una bolsita d merca y me dice ""algún día voy a tomarme una línea en tu culo"" :cara_llorando_de_risa:"
te crees que nos importa que te estés fumando un porro a las 12 de la noche? pista: no,NEGATIVE,Marihuana,te crees que nos importa que te estés fumando un porro a las 12 de la noche? pista: no
@picapau1977 re drogon el pity .. Lo vi en vivo .. Ke manera de tomar merca ke tiene el chabon,NEGATIVE,Cocaína,@picapau1977 re drogon el pity .. lo vi en vivo .. ke manera de tomar merca ke tiene el chabon
Aquí relax aventándome un porro y unos versos,POSITIVE,Marihuana,aquí relax aventándome un porro y unos versos
"Me saqué una foto con mi hermano de 7 años y él tiene una papa frita en la mano... No, no es un porro",NEGATIVE,Marihuana,"me saqué una foto con mi hermano de 7 años y él tiene una papa frita en la mano... no, no es un porro"
qué aburrida la vida yo voy a empezar a inyectarme heroína a ver si siento algo,POSITIVE,Heroína,qué aburrida la vida yo voy a empezar a inyectarme heroína a ver si siento algo
"El de filosofia se debe tomar una linea antes de venir, es fija",NEGATIVE,Cocaína,"el de filosofia se debe tomar una linea antes de venir, es fija"
"Como muchos sabéis soy una friki de los Sims, me bajé un mod de DROGAS para el juego porque me hacía gracia poder hacer que mi sim se fumase un porro o se emborrachase. Me estoy mirando el tutorial y I'M IN SHOCK",NEGATIVE,Marihuana,"como muchos sabéis soy una friki de los sims, me bajé un mod de drogas para el juego porque me hacía gracia poder hacer que mi sim se fumase un porro o se emborrachase. me estoy mirando el tutorial y i'm in shock"
Necesito llegar a mi cama y tomar una línea de merca del tamaño de mi berga o sea 2cm,POSITIVE,Cocaína,necesito llegar a mi cama y tomar una línea de merca del tamaño de mi berga o sea 2cm
"Desearía inyectarme heroína en la sangre para que recorra mis venas hasta el corazón
una heroína que con una sonrisa y una mirada me salve",NEGATIVE,Heroína,desearía inyectarme heroína en la sangre para que recorra mis venas hasta el corazón una heroína que con una sonrisa y una mirada me salve
Inyectarme Heroina es lo k quiero!,POSITIVE,Heroína,inyectarme heroina es lo k quiero!
"Santi MARATEA fumó un porro en un lugar donde NO ES SU PRIVACIDAD y encima mostró todo socarronamente en las redes donde vaya a saber q pibes y en q situación hay mirándolo. Pero sus ""fans"" son tan cerraditos q no pueden reconocer q eso ESTÁ MAL #lam",NEGATIVE,Marihuana,"santi maratea fumó un porro en un lugar donde no es su privacidad y encima mostró todo socarronamente en las redes donde vaya a saber q pibes y en q situación hay mirándolo. pero sus ""fans"" son tan cerraditos q no pueden reconocer q eso está mal #lam"
"La ultima vez que fui, fue a despedir a mi abuela, hoy 12 años después volví y ver a la generación de mi abuela aun intacta, fue una forma de volver a sentir a mi viejita💗😇 #Laguneta donde escuchar un porro con la 19 de marzo es una delicia.",NEGATIVE,Marihuana,"la ultima vez que fui, fue a despedir a mi abuela, hoy 12 años después volví y ver a la generación de mi abuela aun intacta, fue una forma de volver a sentir a mi viejita :corazón_creciente: :cara_sonriendo_con_aureola: #laguneta donde escuchar un porro con la 19 de marzo es una delicia."
esta para tomar una linea de largo como una mesa & bajarlo con 5 fasitos jaja noooooooo,POSITIVE,Cocaína,esta para tomar una linea de largo como una mesa & bajarlo con 5 fasitos [IRONIA] noooooooo
Hoy me mandaron la foto de un porro a modo de hola sjsjsjsjs maneras de iniciarme la conversación,NEGATIVE,Marihuana,hoy me mandaron la foto de un porro a modo de hola sjsjsjsjs maneras de iniciarme la conversación
Como te extraño boquita! Necesito extasis de vosss!!,NEGATIVE,Ecstasy,como te extraño boquita! necesito extasis de vosss!!
El instagramer Santi Maratea se fumó un porro durante el programa de Lizy Tagliani y fue duramente cuestionado http://,NEGATIVE,Marihuana,el instagramer santi maratea se fumó un porro durante el programa de lizy tagliani y fue duramente cuestionado
q bonito es ver a mi amigo enamorado yo en este momento estoy por inyectarme heroína e inhalar un poco de perico,POSITIVE,Heroína,q bonito es ver a mi amigo enamorado yo en este momento estoy por inyectarme heroína e inhalar un poco de perico
Tengo un ex compañero de la primaria via msn tratando de convencerme de tomar merca y colarme pepas,NEGATIVE,Cocaína,tengo un ex compañero de la primaria via msn tratando de convencerme de tomar merca y colarme pepas
"“@RemaMarinero: Yaaaaaaaaa!!!!! Necesito éxtasis, hierba, unos besos, amanecer, baile y sirenas!!!” + 1",POSITIVE,Ecstasy,"“@remamarinero: yaaaaaaaaa!!!!! necesito éxtasis, hierba, unos besos, amanecer, baile y sirenas!!!” + 1"
Unas ganas de tomar una línea de las tetas de milky,POSITIVE,Cocaína,unas ganas de tomar una línea de las tetas de milky
Oye @velazquezpaul que te pasa?? Tú quién eres para hablarle así al Presidente?? Te convertiste en un porro más de la pedorra oposición?? El Presidente NO ES la pilmama de nadie para andar educando a sus seguidores!! Pésima tu intervención!!,NEGATIVE,Marihuana,oye @velazquezpaul que te pasa?? tú quién eres para hablarle así al presidente?? te convertiste en un porro más de la pedorra oposición?? el presidente no es la pilmama de nadie para andar educando a sus seguidores!! pésima tu intervención!!
"He guardado este ticket de metro en mi billetera por años, para hacer un porro.

Hoy va a ser el día.",POSITIVE,Marihuana,"he guardado este ticket de metro en mi billetera por años, para hacer un porro. hoy va a ser el día."
viernes con V de voy a inyectarme heroina hasta la muerte esta misma noche,POSITIVE,Heroína,viernes con v de voy a inyectarme heroina hasta la muerte esta misma noche
Yo creo que es hora de un porro,POSITIVE,Marihuana,yo creo que es hora de un porro
Uno se acaba de tomar una línea atrás mío en el bondi y adivinen son gastronómicos,NEGATIVE,Cocaína,uno se acaba de tomar una línea atrás mío en el bondi y adivinen son gastronómicos
me junté con amigos y me dormí y cuando me desperté me dijeron que me guardaron pizza y un porro porque me había dormido muy temprano los amo,POSITIVE,Marihuana,me junté con amigos y me dormí y cuando me desperté me dijeron que me guardaron pizza y un porro porque me había dormido muy temprano los amo
"Salir de lo que me encierra y correr hacia lo que me asesina es como dejar al cigarrillo para inyectarme heroína. 
Es ilógico.",NEGATIVE,Heroína,salir de lo que me encierra y correr hacia lo que me asesina es como dejar al cigarrillo para inyectarme heroína. es ilógico.
"Podría tomar merca, irme de putas que siempre voy a ser una niña para mis papas.",NEGATIVE,Cocaína,"podría tomar merca, irme de putas que siempre voy a ser una niña para mis papas."
Al panita se le bajó el azúcar porque  él cree en que fumarse un porro es romper el ayuno 😂😂,NEGATIVE,Marihuana,al panita se le bajó el azúcar porque él cree en que fumarse un porro es romper el ayuno :cara_llorando_de_risa: :cara_llorando_de_risa:
Prefiero inyectarme heroina que ver o hablar con imbeciles,NEGATIVE,Heroína,prefiero inyectarme heroina que ver o hablar con imbeciles
"En el libro, Amma le ofrece un porro a Camille luego de su estupor por ver las cicatrices de su hermanastra adulta. Es el único momento hasta ahora en que Amma se nota voluble. Sólo dura unos cuantas líneas porque luego vuelve a ser la hija de la chingada que conocemos.
La odio.",NEGATIVE,Marihuana,"en el libro, amma le ofrece un porro a camille luego de su estupor por ver las cicatrices de su hermanastra adulta. es el único momento hasta ahora en que amma se nota voluble. sólo dura unos cuantas líneas porque luego vuelve a ser la hija de la chingada que conocemos. la odio."
"La fase de ascenso a la Liga I es un porro tremendo. El porro es tan grande que el líder es el único equipo de la liguilla que ha perdido algún partido. El único que ha perdido es el que va primero. Todos los partidos hasta la fecha han acabado 0-0, menos uno que acabó 3-4.",NEGATIVE,Marihuana,"la fase de ascenso a la liga i es un porro tremendo. el porro es tan grande que el líder es el único equipo de la liguilla que ha perdido algún partido. el único que ha perdido es el que va primero. todos los partidos hasta la fecha han acabado 0-0, menos uno que acabó 3-4."
"No lo interprete como que se haya ido a tomar una raya, sino como un desprecio. O tal vez se fue a lavar la cara para despabilarse un poco de los nervios.",NEGATIVE,Cocaína,"no lo interprete como que se haya ido a tomar una raya, sino como un desprecio. o tal vez se fue a lavar la cara para despabilarse un poco de los nervios."
... Y es que ni la defensa ha ayudado a Lester. Ahora Napoli no puede tomar una línea de frente.,NEGATIVE,Cocaína,... y es que ni la defensa ha ayudado a lester. ahora napoli no puede tomar una línea de frente.
"Sinceramente no le veo la gracia de q una persona suba una foto al instagram mostrando un plato,un billete y como se está x tomar una línea",NEGATIVE,Cocaína,"sinceramente no le veo la gracia de q una persona suba una foto al instagram mostrando un plato,un billete y como se está x tomar una línea"
@antofornari me dan ganas de inyectarme heroína pesada,POSITIVE,Heroína,@antofornari me dan ganas de inyectarme heroína pesada
"AYUDA, necesitamos llegar a las autoridades para que @Juanmasueyro vuelva a Castelar, está varado en el Bosque de Villa Gesell totalmente pálido, no puede volver a su casa, tiene síntomas de coronavirus. Está pálido, con fiebre, se cree que es por compartir un porro con su novio.",NEGATIVE,Marihuana,"ayuda, necesitamos llegar a las autoridades para que @juanmasueyro vuelva a castelar, está varado en el bosque de villa gesell totalmente pálido, no puede volver a su casa, tiene síntomas de coronavirus. está pálido, con fiebre, se cree que es por compartir un porro con su novio."
yo no podría aspirar coca porque tengo la nariz tapada y tampoco podría inyectarme heroína porque me dan miedo las agujas,NEGATIVE,Heroína,yo no podría aspirar coca porque tengo la nariz tapada y tampoco podría inyectarme heroína porque me dan miedo las agujas
me fume un porro sola de prensado y lo único q senti fue acidez,POSITIVE,Marihuana,me fume un porro sola de prensado y lo único q senti fue acidez
Quiero fumar un porro:(,POSITIVE,Marihuana,quiero fumar un porro:(
que ganas de fumar un porro que tengo,POSITIVE,Marihuana,que ganas de fumar un porro que tengo
"Ahora me entero que existe el Adobe xd, parece la versión light por si te has fumado un porro.",NEGATIVE,Marihuana,"ahora me entero que existe el adobe [IRONIA] , parece la versión light por si te has fumado un porro."
Esas sillas eran comodisimas para escabiar hasta las 6 de la mañana sin parar solamente un alto en la esquina para mear tomar una línea y seguir sentado.,POSITIVE,Cocaína,esas sillas eran comodisimas para escabiar hasta las 6 de la mañana sin parar solamente un alto en la esquina para mear tomar una línea y seguir sentado.
"Lana del rey me hace dar ganas de fumarme un porro, inyectarme heroina, inhalar merca y andar en otro mundo",NEGATIVE,Heroína,"lana del rey me hace dar ganas de fumarme un porro, inyectarme heroina, inhalar merca y andar en otro mundo"
💪💪💪Me imagino poder tomar una línea directa de Tucumán a Bariloche !,NEGATIVE,Cocaína,:bíceps_flexionado: :bíceps_flexionado: :bíceps_flexionado: me imagino poder tomar una línea directa de tucumán a bariloche !
@LuJaN_981 jaja si puede ser!! Imaginate las cosas que habra pedido el gordo!! Inodoro de oro! Plato para tomar merca de cristal jaja,NEGATIVE,Cocaína,@lujan_981 [IRONIA] si puede ser!! imaginate las cosas que habra pedido el gordo!! inodoro de oro! plato para tomar merca de cristal [IRONIA]
"Dean estaba en una salida de aquel estupendo centro fumándose un porro detrás de otro. Acojonado por lo que podría ocurrir. Dándole vueltas a qué pasaría si el de iba al carajo. Qué sería de sus hermanas, que sería de Juls, qué sería de sus hijos no-natos...

(Libre)",NEGATIVE,Marihuana,"dean estaba en una salida de aquel estupendo centro fumándose un porro detrás de otro. acojonado por lo que podría ocurrir. dándole vueltas a qué pasaría si el de iba al carajo. qué sería de sus hermanas, que sería de juls, qué sería de sus hijos no-natos... (libre)"
"Necesito fumarme un porro con el negro y tocar muchos temas que solo con el puedo hablar de manera rancia mal, que tipo malo es como lo amo. Te extraño @SanttiagoLeon",POSITIVE,Marihuana,"necesito fumarme un porro con el negro y tocar muchos temas que solo con el puedo hablar de manera rancia mal, que tipo malo es como lo amo. te extraño @santtiagoleon"
Cuando me den el diploma lo voy a enrollar y voy a tomarme una línea,POSITIVE,Cocaína,cuando me den el diploma lo voy a enrollar y voy a tomarme una línea
unas ganas d tomar falopa keta tussi inyectarme heroina empastarme no sé algo q me haga sentir alguna emoción porq esoty modo zombie emocionalmente,POSITIVE,Heroína,unas ganas d tomar falopa keta tussi inyectarme heroina empastarme no sé algo q me haga sentir alguna emoción porq esoty modo zombie emocionalmente
