text,label,drug,text_clean
Tengo alergia en los brazos de inyectarme heroína pero bueno vio,POSITIVE,Heroína,tengo alergia en los brazos de inyectarme heroína pero bueno vio
Ay maldita seaaaaa... quiero inyectarme heroina y morir de una sobredosis.,POSITIVE,Heroína,ay maldita seaaaaa... quiero inyectarme heroina y morir de una sobredosis.
"La musica es vida
Prefiero inyectarme ritmo y bailar
Que inyectarme heroína y morir",NEGATIVE,Heroína,la musica es vida prefiero inyectarme ritmo y bailar que inyectarme heroína y morir
"En 1995 tuvimos que tomar una línea de crédito de 50 mil millones de dólares, hoy las reservas son del más del doble",NEGATIVE,Cocaína,"en 1995 tuvimos que tomar una línea de crédito de 50 mil millones de dólares, hoy las reservas son del más del doble"
"Me voy a tomar una línea de merca, así por lo menos flasheo que boca juega bien.",POSITIVE,Cocaína,"me voy a tomar una línea de merca, así por lo menos flasheo que boca juega bien."
No necesito éxtasis si sonríes.,NEGATIVE,Ecstasy,no necesito éxtasis si sonríes.
Me imagino los mosquitos queriendose tomar una raya de sal pensando que es cocaina jajajajajaja,NEGATIVE,Cocaína,me imagino los mosquitos queriendose tomar una raya de sal pensando que es cocaina [IRONIA]
"le estaba mostrando una foto en mi telefono a mi abuela, corri a la izquierda y habia un porro enorme",NEGATIVE,Marihuana,"le estaba mostrando una foto en mi telefono a mi abuela, corri a la izquierda y habia un porro enorme"
Me acuerdo cuando un amigo en prepa me invitó a inyectarme heroina lololololol (no lo hice),NEGATIVE,Heroína,me acuerdo cuando un amigo en prepa me invitó a inyectarme heroina lololololol (no lo hice)
la que se fumo un porro es mi vecina,NEGATIVE,Marihuana,la que se fumo un porro es mi vecina
"Mi viejo me mira como si fuera a inyectarme heroína. Bancá man tan asqueroso ibas a ser, es un remedio chabón.",NEGATIVE,Heroína,"mi viejo me mira como si fuera a inyectarme heroína. bancá man tan asqueroso ibas a ser, es un remedio chabón."
Prefiero inyectarme heroina que tu dosis de amor!,NEGATIVE,Heroína,prefiero inyectarme heroina que tu dosis de amor!
"SE PONE LOCO COMO YO CUANDO NO ME PUEDO TOMAR UNA LINEA APENAS DESPIERTO JA JA 
BESOS",POSITIVE,Cocaína,se pone loco como yo cuando no me puedo tomar una linea apenas despierto ja ja besos
Me voy a tomar merca al baño del laburo. Listo lo dije,POSITIVE,Cocaína,me voy a tomar merca al baño del laburo. listo lo dije
Me preocupa que estén diciendo que [PERSONA] es súper flaquita por la merca porque van a salir todas las pibitas a tomar merca es real pero no es el caminooo,NEGATIVE,Cocaína,me preocupa que estén diciendo que [PERSONA] es súper flaquita por la merca porque van a salir todas las pibitas a tomar merca es real pero no es el caminooo
"Yoh vivía sonriendo, se quedaba horas colgado mirando el cielo y tenía los ojitos caídos porque se fumaba un porro en cada capítulo.",NEGATIVE,Marihuana,"yoh vivía sonriendo, se quedaba horas colgado mirando el cielo y tenía los ojitos caídos porque se fumaba un porro en cada capítulo."
Sentarte y escuchar [PERSONA] es lo mismo que encender un cigarro y tomar una raya de wisky.. Muerooo!!,NEGATIVE,Cocaína,sentarte y escuchar [PERSONA] es lo mismo que encender un cigarro y tomar una raya de wisky.. muerooo!!
"Me saqué una foto con mi hermano de 7 años y él tiene una papa frita en la mano... No, no es un porro",NEGATIVE,Marihuana,"me saqué una foto con mi hermano de 7 años y él tiene una papa frita en la mano... no, no es un porro"
qué aburrida la vida yo voy a empezar a inyectarme heroína a ver si siento algo,POSITIVE,Heroína,qué aburrida la vida yo voy a empezar a inyectarme heroína a ver si siento algo
"""No es posible tomar una línea política y asumir(la) como solución absoluta para el universo de individualidades... http://",NEGATIVE,Cocaína,"""no es posible tomar una línea política y asumir(la) como solución absoluta para el universo de individualidades..."
"Como muchos sabéis soy una friki de los Sims, me bajé un mod de droga para el juego porque me hacía gracia poder hacer que mi sim se fumase un porro o se emborrachase. Me estoy mirando el tutorial y I'me IN SHOCK",NEGATIVE,Marihuana,"como muchos sabéis soy una friki de los sims, me bajé un mod de droga para el juego porque me hacía gracia poder hacer que mi sim se fumase un porro o se emborrachase. me estoy mirando el tutorial y i'me in shock"
mi sueño es fumarme un porro o tomarme una linea con [PERSONA] y [PERSONA],POSITIVE,Cocaína,mi sueño es fumarme un porro o tomarme una linea con [PERSONA] y [PERSONA]
"""No poder usar Twitter desde el teléfono"" es el nuevo ""No puedo inyectarme heroína""",NEGATIVE,Heroína,"""no poder usar twitter desde el teléfono"" es el nuevo ""no puedo inyectarme heroína"""
Inyectarme Heroina es lo k quiero!,POSITIVE,Heroína,inyectarme heroina es lo k quiero!
"[PERSONA] [PERSONA] fumó un porro en un lugar donde NO ES SU PRIVACIDAD y encima mostró todo socarronamente en las redes donde vaya a saber que pibes y en que situación hay mirándolo. Pero sus ""fans"" son tan cerraditos que no pueden reconocer que eso ESTÁ MAL",NEGATIVE,Marihuana,"[PERSONA] [PERSONA] fumó un porro en un lugar donde no es su privacidad y encima mostró todo socarronamente en las redes donde vaya a saber que pibes y en que situación hay mirándolo. pero sus ""fans"" son tan cerraditos que no pueden reconocer que eso está mal"
pareciera que se estaba armando un porro,NEGATIVE,Marihuana,pareciera que se estaba armando un porro
"que linda noche, esta para tomar una linea de merca",POSITIVE,Cocaína,"que linda noche, esta para tomar una linea de merca"
me acuerdo que algunos pensaban que estaba usando crayones pero en realidad se estaba armando un porro,NEGATIVE,Marihuana,me acuerdo que algunos pensaban que estaba usando crayones pero en realidad se estaba armando un porro
El instagramer [PERSONA] [PERSONA] se fumó un porro durante el programa de [PERSONA] y fue duramente cuestionado http://,NEGATIVE,Marihuana,el instagramer [PERSONA] [PERSONA] se fumó un porro durante el programa de [PERSONA] y fue duramente cuestionado
en este momento quisiera tanto tanto inyectarme heroina con [PERSONA],POSITIVE,Heroína,en este momento quisiera tanto tanto inyectarme heroina con [PERSONA]
Tambien estan [DISCRIMINACION] que creen que tienen estatus por dejar el porro y tomar merca.,NEGATIVE,Cocaína,tambien estan [DISCRIMINACION] que creen que tienen estatus por dejar el porro y tomar merca.
Me acabo de tomar una línea de keta mal picada. Se me parte la cara,POSITIVE,Cocaína,me acabo de tomar una línea de keta mal picada. se me parte la cara
Nada me da más cringe que ver a un [INSULTO] fumar un porro y lo pública en fb ó Instagram. En serio es superficial y aburre,NEGATIVE,Marihuana,nada me da más cringe que ver a un [INSULTO] fumar un porro y lo pública en fb ó instagram. en serio es superficial y aburre
"He guardado este ticket de metro en mi billetera por años, para hacer un porro.

Hoy va a ser el día.",POSITIVE,Marihuana,"he guardado este ticket de metro en mi billetera por años, para hacer un porro. hoy va a ser el día."
viernes con V de voy a inyectarme heroina hasta la muerte esta misma noche,POSITIVE,Heroína,viernes con v de voy a inyectarme heroina hasta la muerte esta misma noche
"Hace dos años me forjé con mis compás un porro con una hoja de la biblia, qué buenos tiempos",POSITIVE,Marihuana,"hace dos años me forjé con mis compás un porro con una hoja de la biblia, qué buenos tiempos"
Quiere tomar una linea dice ajajjaja para la calor,NEGATIVE,Cocaína,quiere tomar una linea dice ajajjaja para la calor
me junté con amigos y me dormí y cuando me desperté me dijeron que me guardaron pizza y un porro porque me había dormido muy temprano los amo,POSITIVE,Marihuana,me junté con amigos y me dormí y cuando me desperté me dijeron que me guardaron pizza y un porro porque me había dormido muy temprano los amo
"Salir de lo que me encierra y correr hacia lo que me asesina es como dejar al cigarrillo para inyectarme heroína. 
Es ilógico.",NEGATIVE,Heroína,salir de lo que me encierra y correr hacia lo que me asesina es como dejar al cigarrillo para inyectarme heroína. es ilógico.
Especial este clima para tomar una raya de whisky ... toma 2 .... toma 3 ... toma 4 ... toma toda la botella ...,NEGATIVE,Cocaína,especial este clima para tomar una raya de whisky ... toma 2 .... toma 3 ... toma 4 ... toma toda la botella ...
"UN COMPAÑERO SE ESTABA FUMANDO UN porro Y TENIA EL MICROFONO PRENDIDO, SE ESCUCHABAN LAS SECAS Y EMPEZO A TOSER A LO LOCO JAJAJAJAJ
LA PROFE:",NEGATIVE,Marihuana,"un compañero se estaba fumando un porro y tenia el microfono prendido, se escuchaban las secas y empezo a toser a lo loco jajajajaj la profe:"
"No voy a inyectarme heroina, pero quiero inyectarme paciencia.",NEGATIVE,Heroína,"no voy a inyectarme heroina, pero quiero inyectarme paciencia."
"En el libro, Amma le ofrece un porro a Camille luego de su estupor por ver las cicatrices de su hermanastra adulta. Es el único momento hasta ahora en que Amma se nota voluble. Sólo dura unos cuantas líneas porque luego vuelve a ser la hija de la [GROSERIA] que conocemos.
La odio.",NEGATIVE,Marihuana,"en el libro, amma le ofrece un porro a camille luego de su estupor por ver las cicatrices de su hermanastra adulta. es el único momento hasta ahora en que amma se nota voluble. sólo dura unos cuantas líneas porque luego vuelve a ser la hija de la [GROSERIA] que conocemos. la odio."
"La fase de ascenso a la Liga I es un porro tremendo. El porro es tan grande que el líder es el único equipo de la liguilla que ha perdido algún partido. El único que ha perdido es el que va primero. Todos los partidos hasta la fecha han acabado 0-0, menos uno que acabó 3-4.",NEGATIVE,Marihuana,"la fase de ascenso a la liga i es un porro tremendo. el porro es tan grande que el líder es el único equipo de la liguilla que ha perdido algún partido. el único que ha perdido es el que va primero. todos los partidos hasta la fecha han acabado 0-0, menos uno que acabó 3-4."
"Creo que los comisarios se han equivocado en este GP al intentar aplicar el reglamento al pie de la letra. Ni la telemetría puede determinar si VET pudo tomar una línea mejor en su incorporación, con unos neumáticos sucios por la excursión. Por tanto, no creo que sea sancionable.",NEGATIVE,Cocaína,"creo que los comisarios se han equivocado en este gp al intentar aplicar el reglamento al pie de la letra. ni la telemetría puede determinar si vet pudo tomar una línea mejor en su incorporación, con unos neumáticos sucios por la excursión. por tanto, no creo que sea sancionable."
"Ya van dos personas mayores aquí en Seúl que me preguntan por dónde tomar una línea del metro 😭 no se dejen engañar por mi cara de estar segura de donde estoy, llevo 30 años usándola y nunca sé qué pedo con nada",NEGATIVE,Cocaína,"ya van dos personas mayores aquí en seúl que me preguntan por dónde tomar una línea del metro :cara_llorando_fuerte: no se dejen engañar por mi cara de estar segura de donde estoy, llevo 30 años usándola y nunca sé qué pedo con nada"
Voy a pensar en tomarme una linea que nunca uso a ver si viene el colectivo que quiero. Maldita Ley de Murphy.,NEGATIVE,Cocaína,voy a pensar en tomarme una linea que nunca uso a ver si viene el colectivo que quiero. maldita ley de murphy.
me dan ganas de inyectarme heroína pesada,POSITIVE,Heroína,me dan ganas de inyectarme heroína pesada
"AYUDA, necesitamos llegar a las autoridades para que  vuelva a Castelar, está varado en el Bosque de Villa Gesell totalmente pálido, no puede volver a su casa, tiene síntomas de coronavirus. Está pálido, con fiebre, se cree que es por compartir un porro con su novio.",NEGATIVE,Marihuana,"ayuda, necesitamos llegar a las autoridades para que vuelva a castelar, está varado en el bosque de villa gesell totalmente pálido, no puede volver a su casa, tiene síntomas de coronavirus. está pálido, con fiebre, se cree que es por compartir un porro con su novio."
yo no podría aspirar coca porque tengo la nariz tapada y tampoco podría inyectarme heroína porque me dan miedo las agujas,NEGATIVE,Heroína,yo no podría aspirar coca porque tengo la nariz tapada y tampoco podría inyectarme heroína porque me dan miedo las agujas
me fume un porro sola de prensado y lo único que senti fue acidez,POSITIVE,Marihuana,me fume un porro sola de prensado y lo único que senti fue acidez
Estoy ordenando el baúl de la cama y encontré un porro .La felicidad,POSITIVE,Marihuana,estoy ordenando el baúl de la cama y encontré un porro .la felicidad
yo con mis ganas de hacerme un porro sabiendo que tengo que racionar la hierba,POSITIVE,Marihuana,yo con mis ganas de hacerme un porro sabiendo que tengo que racionar la hierba
"Ahora me entero que existe el Adobe xd, parece la versión light por si te has fumado un porro.",NEGATIVE,Marihuana,"ahora me entero que existe el adobe [IRONIA] , parece la versión light por si te has fumado un porro."
Yo estoy por tomar una linea para seguir,POSITIVE,Cocaína,yo estoy por tomar una linea para seguir
"Lana del rey me hace dar ganas de fumarme un porro, inyectarme heroina, inhalar merca y andar en otro mundo",NEGATIVE,Heroína,"lana del rey me hace dar ganas de fumarme un porro, inyectarme heroina, inhalar merca y andar en otro mundo"
"Hugo, seguimos contigo por favor contáctanos vía DM o al correo  con los datos que previamente te solicitamos, ya que es necesario tomar una línea como referencia para revisar lo que ocurre. Con gusto te atiende NL.",NEGATIVE,Cocaína,"hugo, seguimos contigo por favor contáctanos vía dm o al correo con los datos que previamente te solicitamos, ya que es necesario tomar una línea como referencia para revisar lo que ocurre. con gusto te atiende nl."
Y me levante otra vez a fumar y tomar una raya de whisky.,NEGATIVE,Cocaína,y me levante otra vez a fumar y tomar una raya de whisky.
estamos en zoom y uno de mi clase está con la cámara abierta en la terraza fumándose un porro,NEGATIVE,Marihuana,estamos en zoom y uno de mi clase está con la cámara abierta en la terraza fumándose un porro
nada le gana a fumar un porro en la pllaya con el amor de tu vida,POSITIVE,Marihuana,nada le gana a fumar un porro en la pllaya con el amor de tu vida
Hoy es un día para tomar merca del bidet.,POSITIVE,Cocaína,hoy es un día para tomar merca del bidet.
unas ganas de tomar falopa keta tussi inyectarme heroina empastarme no sé algo que me haga sentir alguna emoción porq esoty modo zombie emocionalmente,POSITIVE,Heroína,unas ganas de tomar falopa keta tussi inyectarme heroina empastarme no sé algo que me haga sentir alguna emoción porq esoty modo zombie emocionalmente
Voy inyectarme heroina y me quedare dormido boca arriba,POSITIVE,Heroína,voy inyectarme heroina y me quedare dormido boca arriba
vos te arrastra para que vayamos a tomar una línea,POSITIVE,Cocaína,vos te arrastra para que vayamos a tomar una línea
Necesito éxtasis.,POSITIVE,Ecstasy,necesito éxtasis.
y si empiezo a tomar merca?,POSITIVE,Cocaína,y si empiezo a tomar merca?
Necesito éxtasis de felicidad.,NEGATIVE,Ecstasy,necesito éxtasis de felicidad.
"Traté de inyectarme heroína, pero se me atoró su capa. [Like it? ]",NEGATIVE,Heroína,"traté de inyectarme heroína, pero se me atoró su capa. [like it? ]"
Las de Instagram se fuman un porro cada vez que hacen edits,NEGATIVE,Marihuana,las de instagram se fuman un porro cada vez que hacen edits
"Necesito éxtasis, y no hablo de la droga.",NEGATIVE,Ecstasy,"necesito éxtasis, y no hablo de la droga."
Que ganas de tomarme una linea más grande que mi pozo depresivo,POSITIVE,Cocaína,que ganas de tomarme una linea más grande que mi pozo depresivo
Soy hermosa cuando tengo un porro en la boca,POSITIVE,Marihuana,soy hermosa cuando tengo un porro en la boca
Me acabo de fumar un porro viendo esta belleza,POSITIVE,Marihuana,me acabo de fumar un porro viendo esta belleza
"Tomarme una linea, niña, encima de tu foto es la única manera de tener cerca tu rostrooo",POSITIVE,Cocaína,"tomarme una linea, niña, encima de tu foto es la única manera de tener cerca tu rostrooo"
Estoy enojado porque no pude cortarme el cabello y feliz porque me estoy fumando un porro.,POSITIVE,Marihuana,estoy enojado porque no pude cortarme el cabello y feliz porque me estoy fumando un porro.
"Eso es lo malo de ser un porro inculto 
y no un verdadero político.",NEGATIVE,Marihuana,eso es lo malo de ser un porro inculto y no un verdadero político.
Necesito un porro,POSITIVE,Marihuana,necesito un porro
"¿Sabéis lo que harán los contrarios a la legalización de la Marihuana? Exacto, fumarse un porro.",NEGATIVE,Marihuana,"¿sabéis lo que harán los contrarios a la legalización de la marihuana? exacto, fumarse un porro."
Dios que sarna tik tok como pueden consumir eso prefiero inyectarme heroína en el ojo,NEGATIVE,Heroína,dios que sarna tik tok como pueden consumir eso prefiero inyectarme heroína en el ojo
"De [PERSONA] no tiene nada, tiene una madre y abuela sin vacunar, y ella con 18 años se vacuno y yo me siento un porro hice una carrera en 6 años y esta chica estudio 2 carrera en harvard en 1 año",NEGATIVE,Marihuana,"de [PERSONA] no tiene nada, tiene una madre y abuela sin vacunar, y ella con 18 años se vacuno y yo me siento un porro hice una carrera en 6 años y esta chica estudio 2 carrera en harvard en 1 año"
Si me acuesto tarde mis viejos piensan que me quedo despierta para inyectarme heroína tranquila,NEGATIVE,Heroína,si me acuesto tarde mis viejos piensan que me quedo despierta para inyectarme heroína tranquila
"Bueno, el vecino que escuchaba Perdiendo el Control de Miguel Mateos hace unos días, hoy está escuchando: We Are the World. Me voy a tomar una raya de alcohol en gel y vuelvo.",NEGATIVE,Cocaína,"bueno, el vecino que escuchaba perdiendo el control de miguel mateos hace unos días, hoy está escuchando: [IRONIA] [IRONIA] the world. me voy a tomar una raya de alcohol en gel y vuelvo."
"Si mama, me voy a los parques a inyectarme heroina",POSITIVE,Heroína,"si mama, me voy a los parques a inyectarme heroina"
Por favor cómo extraño fumarme un porro con mis amigas mientras miramos videos bizarros y comemos chipá con mate.,POSITIVE,Marihuana,por favor cómo extraño fumarme un porro con mis amigas mientras miramos videos bizarros y comemos chipá con mate.
Estoy agotada porque me creo la tercera gemela de los de las reformas de Divinity y encima mi vecino está fumandose un porro gigante y nada tal que así estamos.,NEGATIVE,Marihuana,estoy agotada porque me creo la tercera gemela de los de las reformas de divinity y encima mi vecino está fumandose un porro gigante y nada tal que así estamos.
"[PERSONA], un porro octagenario ?artid=47605&cat=66#.YFM_dhhgvmc.twitter…",NEGATIVE,Marihuana,"[PERSONA], un porro octagenario ?artid=47605&cat=66#.yfm_dhhgvmc.twitter…"
"Aunque igual me gustaría inyectarme heroína, es como, mi fantasía sexual.",POSITIVE,Heroína,"aunque igual me gustaría inyectarme heroína, es como, mi fantasía sexual."
"Si piensas que los cambios que piden las personas se hace de un día para otro...entonces tampoco entiendes nada. Habia que partir por cambiar parte del gabinete para tomar una linea más social y que tampoco es la solución, pero hay que partir con algo.",NEGATIVE,Cocaína,"si piensas que los cambios que piden las personas se hace de un día para otro...entonces tampoco entiendes nada. habia que partir por cambiar parte del gabinete para tomar una linea más social y que tampoco es la solución, pero hay que partir con algo."
"Tomar merca, eso es lo que va",POSITIVE,Cocaína,"tomar merca, eso es lo que va"
"si me decían que tomar merca todos los días te garantizaba un sueldazo, tampoco lo creía.",NEGATIVE,Cocaína,"si me decían que tomar merca todos los días te garantizaba un sueldazo, tampoco lo creía."
"Llegaron 2 0km para la #Linea85#Linea85 t.co/nmjKgie44s Aunque sea super causalidad, cada vez que decido tomarme una línea nueva PUM... en el día se anuncia nuevas unidades.",NEGATIVE,Cocaína,"llegaron 2 0km para la #linea85#linea85 t.co/nmjkgie44s aunque sea super causalidad, cada vez que decido tomarme una línea nueva pum... en el día se anuncia nuevas unidades."
"Se habrán apostado algo con [PERSONA] a ver quién hablaba más tiempo sin tomar merca, y sin que se note?",NEGATIVE,Cocaína,"se habrán apostado algo con [PERSONA] a ver quién hablaba más tiempo sin tomar merca, y sin que se note?"
aquí pueden verme en mi máxima expresión armando un porro rodeado de plantas de marihuana,POSITIVE,Marihuana,aquí pueden verme en mi máxima expresión armando un porro rodeado de plantas de marihuana
"Cuando un tipo drogado sale a la calle, es un potencial peligro para terceros, en todo ámbito. ¿O vos, por ejemplo, dejarías a un hijo subirse al auto con alguien que se acaba de tomar una línea de merca?",NEGATIVE,Cocaína,"cuando un tipo drogado sale a la calle, es un potencial peligro para terceros, en todo ámbito. ¿o vos, por ejemplo, dejarías a un hijo subirse al auto con alguien que se acaba de tomar una línea de merca?"
"Soñé que me asaltaban nuevamente y para dejarme ir, me pedían inyectarme heroína 🤔.",NEGATIVE,Heroína,"soñé que me asaltaban nuevamente y para dejarme ir, me pedían inyectarme heroína :cara_pensativa: ."
se pusieron a pensar que ya muchos dejamos de disfrutar de caminar en la calle (a cualquier hora) por miedo a que nos roben? hasta ir a la parada es feo Y hasta ya deje de tomarme una linea de colectivo para no ir con miedo,NEGATIVE,Cocaína,se pusieron a pensar que ya muchos dejamos de disfrutar de caminar en la calle (a cualquier hora) por miedo a que nos roben? hasta ir a la parada es feo y hasta ya deje de tomarme una linea de colectivo para no ir con miedo
when dije que me voy a hacer un porro más grande que mi cabeza no era broma,POSITIVE,Marihuana,when dije que me voy a hacer un porro más grande que mi cabeza no era broma
el otro dia mi abuelo llevo a lavar su auto a donde suelo llevar el mio y LE DEJARON UN porro EN EL ASIENTO DE ATRAS,NEGATIVE,Marihuana,el otro dia mi abuelo llevo a lavar su auto a donde suelo llevar el mio y le dejaron un porro en el asiento de atras
