text,label,text_clean
"Para ser considerada una fanática de Megadeth, tengo que tomar birra e inyectarme heroína. No me cuentes.",NEGATIVE,"para ser considerada una fanática de megadeth, tengo que tomar birra e inyectarme heroína. no me cuentes."
"Hoy me siento como bonita, solo me falta prender un porro y un teé",POSITIVE,"hoy me siento como bonita, solo me falta prender un porro y un teé"
Entérate  Multa de meás de 5 mil pesos por fumar un porro en Francia https://,NEGATIVE,entérate multa de meás de 5 mil pesos por fumar un porro en francia
"Mi vida deberia a ser algo como inyectarme heroina, tomar terere y escuchar musica",NEGATIVE,"mi vida deberia a ser algo como inyectarme heroina, tomar [PERSONA] y escuchar musica"
Yo soy fanático de Nirvana. Decís que mañana arranco a inyectarme heroína y después me vuelo la cabeza?,NEGATIVE,yo soy fanático de nirvana. decís que mañana arranco a inyectarme heroína y después me vuelo la cabeza?
La pulsera que me diste la ocupo para taparme la vena e inyectarme heroína.,POSITIVE,la pulsera que me diste la ocupo para taparme la vena e inyectarme heroína.
Fúmense un porro que es lo único que ayudara con esta pena.,POSITIVE,fúmense un porro que es lo único que ayudara con esta pena.
eu esta buenísimo esto de dormir 2 horas por dia porque siento que estoy re mil falopeada pero sin falopearme igual creo que debe ser mas sano inyectarme heroina que seguir asi honestamente,NEGATIVE,eu esta buenísimo esto de dormir 2 horas por dia porque siento que estoy re mil falopeada pero sin falopearme igual creo que debe ser mas sano inyectarme heroina que seguir asi honestamente
O voy a tomar y inyectarme heroina y jalar coca hasta que me muera de sobredosis,POSITIVE,o voy a tomar y inyectarme heroina y jalar coca hasta que me muera de sobredosis
despues lo invito a tomar una linea de merca,POSITIVE,despues lo invito a tomar una linea de merca
Cuando la presidenta de tu comunidad se ha fumado un porro o dos.....,NEGATIVE,cuando la presidenta de tu comunidad se ha fumado un porro o dos.....
"No, no me quiero juntar con vos a verte tomar merca",NEGATIVE,"no, no me quiero juntar con vos a verte tomar merca"
"Llegando a la estación de Gandía un chico joven con sus rastas y sus perros que estaba sentado al lado de un árbol me ha pedido que le lié un porro con mi hierba.
Ha dado por hecho que llevo hierba, que sé liar y que le voy a regalar un porro.
Enga, sí, crack, es por la ropa?",NEGATIVE,"llegando a la estación de gandía un chico joven con sus rastas y sus perros que estaba sentado al lado de un árbol me ha pedido que le lié un porro con mi hierba. ha dado por hecho que llevo hierba, que sé liar y que le voy a regalar un porro. enga, sí, crack, es por la ropa?"
Me voy a tomar una línea de merca en honor al kily ya vengo,POSITIVE,me voy a tomar una línea de merca en honor al kily ya vengo
Se salta el confinamiento para fumarse un porro en Vitoria …,NEGATIVE,se salta el confinamiento para fumarse un porro en vitoria …
Para colmo escuchar las charlas recapacitadoras de mi vieja y mi hno. Entiendo que me quieren. Pero a meí quien [GROSERIA] me entiende? Me voy a tomar una raya,POSITIVE,para colmo escuchar las charlas recapacitadoras de mi vieja y mi hno. entiendo que me quieren. pero a [PERSONA] quien [GROSERIA] me entiende? me voy a tomar una raya
Quiero inyectarme heroina con mbv de fondo ahre flashaba droga era ustedes,NEGATIVE,quiero inyectarme heroina con mbv de fondo ahre flashaba droga era ustedes
Facil y rapido no seria para la gente que vivimos alejada del centro.. Ir de zona oeste y tomar una linea de la costa tardas minimo una hora cuarenta,NEGATIVE,facil y rapido no seria para la gente que vivimos alejada del centro.. ir de zona oeste y tomar una linea de la costa tardas minimo una hora cuarenta
me quiero tomar una línea tan larga que tenga que tomar aire 3 veces ahr,POSITIVE,me quiero tomar una línea tan larga que tenga que tomar aire 3 veces ahr
prefiero inyectarme heroína antes que reírme de esa imagen,NEGATIVE,prefiero inyectarme heroína antes que reírme de esa imagen
"Mi traje, mis botas y un porro en mi boca 🤠",POSITIVE,"mi traje, mis botas y un porro en mi boca :cara_con_sombrero_de_vaquero:"
"primavera el año pasado: me voy a colar un acido y voy a ranchar en la plaza hasta las 3 de la mañana dsp caminare por todo el barrio entripada vuelvo a casa y me pongo a ver videos de caidas
primavera hoy: volvi de trabajar re cansada le di dos sequitas a un porro y me dio sueñito",POSITIVE,primavera el año pasado: me voy a colar un acido y voy a ranchar en la plaza hasta las 3 de la mañana [PERSONA] caminare por todo el barrio entripada vuelvo a casa y me pongo a ver videos de caidas primavera hoy: volvi de trabajar re cansada le di dos sequitas a un porro y me dio sueñito
para que fumarme un porro si cuando te veo quedo re loca😍,NEGATIVE,para que fumarme un porro si cuando te veo quedo re loca :cara_sonriendo_con_ojos_de_corazón:
"Yo recordando cómo está semana apague todas las luces de la sala, me pegue un porro con un vino y me puse a llorar con My Chemical Romance",POSITIVE,"yo recordando cómo está semana apague todas las luces de la sala, me pegue un porro con un vino y me puse a llorar con my chemical romance"
Me voy a dormir una siesta porque sino a la noche me voy a tener que tomar una línea de merca para aguantar,NEGATIVE,me voy a dormir una siesta porque sino a la noche me voy a tener que tomar una línea de merca para aguantar
"Hoy no tengo que laburar, entonces me levanté, me fume un porro y ahora estoy viendo un podcast de lolcito, tengo todos los chakras alineados",POSITIVE,"hoy no tengo que laburar, entonces me levanté, me fume un porro y ahora estoy viendo un podcast de lolcito, tengo todos los chakras alineados"
"mi vieja me deja inyectarme heroina pero ojo, no almuerzo y se pudre todo",NEGATIVE,"mi vieja me deja inyectarme heroina pero ojo, no almuerzo y se pudre todo"
Dios ayer estaba re drogada y tire casi un porro entero que me había mechado de golosa,POSITIVE,dios ayer estaba re drogada y tire casi un porro entero que me había mechado de golosa
Hora de un porro,POSITIVE,hora de un porro
"""Fumar marihuana con sabiduría""... yo quiero inyectarme heroína con sabiduría... puedo? Jajajjajaa",NEGATIVE,"""fumar marihuana con sabiduría""... yo quiero inyectarme heroína con sabiduría... puedo? jajajjajaa"
esta para tomar una linea de largo como una mesa & bajarlo con 5 fasitos jaja noooooooo,POSITIVE,esta para tomar una linea de largo como una mesa & bajarlo con 5 fasitos jaja noooooooo
Algo que tengo que hacer antes de morir es tomar una línea de merca de arriba de [ANATOMIA] de mi novia,POSITIVE,algo que tengo que hacer antes de morir es tomar una línea de merca de arriba de [ANATOMIA] de mi novia
Vamos a tomar una raya amigo ya fue,POSITIVE,vamos a tomar una raya amigo ya fue
Me agarro sueño pero antes me voy a tomar una linea de paralisis del sueño,NEGATIVE,me agarro sueño pero antes me voy a tomar una linea de paralisis del sueño
Me voy a fumar un porro quién mas quiere,POSITIVE,me voy a fumar un porro quién mas quiere
A falta de amor un porro por favorr,POSITIVE,a falta de amor un porro por [PERSONA]
¿cuando van a tomar una linea que sea nacionalista no estrastoferica? Quitense las anteojeras y vean el mundo o a Cuba,NEGATIVE,¿cuando van a tomar una linea que sea nacionalista no estrastoferica? quitense las anteojeras y vean el mundo o a cuba
"Lo meás lindo de mi 2019 fue haber entendido que tomar merca me detiene la vida, a pesar de tener ganas de tomar todos los deías puedo controlarlo aún cuando me toman en la cara💫",POSITIVE,"lo meás lindo de mi 2019 fue haber entendido que tomar merca me detiene la vida, a pesar de tener ganas de tomar todos los deías puedo controlarlo aún cuando me toman en la cara :[PERSONA]:"
Despertar a pegarte un porro y olvidar que anoche dejaste medio para tus buenos deías.,POSITIVE,despertar a pegarte un porro y olvidar que anoche dejaste medio para tus buenos deías.
Me voy a tomar una línea de merk enorme arriba de la cara de [PERSONA] en su honor,POSITIVE,me voy a tomar una línea de merk enorme arriba de la cara de [PERSONA] en su honor
Me voy a tomar una linea,POSITIVE,me voy a tomar una linea
para que necesito éxtasis si mi droga son las pastillitas de menta,NEGATIVE,para que necesito éxtasis si mi droga son las pastillitas de menta
quien se desayuna un porro por dios que asco,NEGATIVE,quien se desayuna un porro por dios que asco
Necesito éxtasis.,POSITIVE,necesito éxtasis.
el porro ya no es suficiente para no pensar necesito inyectarme heroina,POSITIVE,el porro ya no es suficiente para no pensar necesito inyectarme heroina
de tomar una linea paralela asociada a la electrónica que permitía hacer simples y elegantes discos.,NEGATIVE,de tomar una linea paralela asociada a la electrónica que permitía hacer simples y elegantes discos.
"Mi novia no me quiere,  me he liado un porro me lo ha quitado y se lo ha enchufao, que malvada",POSITIVE,"mi novia no me quiere, me he liado un porro me lo ha quitado y se lo ha enchufao, que malvada"
Necesito extasis/rola. Cualquiera de las dos me viene perfecto para no dormir👌,POSITIVE,necesito extasis/rola. cualquiera de las dos me viene perfecto para no dormir :señal_de_aprobación_con_la_mano:
Me mueeeeeeeeero de sueño. Voy a tener que empezar a inyectarme heroína para tener meás pilas... (?,NEGATIVE,me mueeeeeeeeero de sueño. voy a tener que empezar a inyectarme heroína para tener meás pilas... (?
"¡Lo que nos gustó la excursión que hicimos por la línea Gakunan! Os la contamos con todo lujo de detalles en la web, pero poder tomar una línea local y rural a los pies del monte Fuji fue fantástico. Si buscas una excursión diferente, échale un ojo!🇯🇵W… https://",NEGATIVE,"¡lo que nos gustó la excursión que hicimos por la línea gakunan! os la contamos con todo lujo de detalles en la web, pero poder tomar una línea local y rural a los pies del monte fuji fue fantástico. si buscas una excursión diferente, échale un ojo! :bandera_japón: w…"
Hoy quiero tomar una linea con mi ex mejor amigo,POSITIVE,hoy quiero tomar una linea con mi ex mejor amigo
He decidido inyectarme Heroína..,POSITIVE,he decidido inyectarme heroína..
ayer me ofrecieron un porro y dije que no,NEGATIVE,ayer me ofrecieron un porro y dije que no
Cuando esucho Joy Division me dan ganas de inyectarme heroina o entrarle a cualquier droga,NEGATIVE,cuando esucho joy division me dan ganas de inyectarme heroina o entrarle a cualquier droga
que ganas de tomar una línea bien gorda,POSITIVE,que ganas de tomar una línea bien gorda
¿Cómo te fumas un porro sin querer?,NEGATIVE,¿cómo te fumas un porro sin querer?
Por qué resumen a semejante banda como Radiohead en la tristeza?  Personalmente escuchandola me dan ganas de inyectarme heroína mientras fumo un cigarillo.,NEGATIVE,por qué resumen a semejante banda como radiohead en la tristeza? personalmente escuchandola me dan ganas de inyectarme heroína mientras fumo un cigarillo.
Necesito inyectarme heroína,POSITIVE,necesito inyectarme heroína
les juro que quisiera inyectarme heroína hasta perderme en el universo del cosmos y no pensar en ningún tipo de actividad facultativa.,NEGATIVE,les juro que quisiera inyectarme heroína hasta perderme en el universo del cosmos y no pensar en ningún tipo de actividad facultativa.
Buscando un jibaro para inyectarme heroina y evadirme de este paraiso socialista,POSITIVE,buscando un jibaro para inyectarme heroina y evadirme de este paraiso socialista
Necesito éxtasis,POSITIVE,necesito éxtasis
Cuando le digo a mi mamá que voy a farmatodo ella piensa que voy a inyectarme heroina con el vagabundo de la esquina,NEGATIVE,cuando le digo a mi mamá que voy a farmatodo ella piensa que voy a inyectarme heroina con el vagabundo de la esquina
"Estoy entre empezar a ver el primer capitulo de Breaking Bad o inyectarme heroina. Total, según los leo, parece que es lo mismo.",NEGATIVE,"estoy entre empezar a ver el primer capitulo de breaking bad o inyectarme heroina. total, según los leo, parece que es lo mismo."
"las opiniones reflejan la falta de compás, de orientación hacia resultado específico, en todo el espectro de la ciudadanía. meás grave aún, la falta de analizar y tomar una línea coherente, ceder, construir...",NEGATIVE,"las opiniones reflejan la falta de compás, de orientación hacia resultado específico, en todo el espectro de la ciudadanía. meás grave aún, la falta de analizar y tomar una línea coherente, ceder, construir..."
te pensas que esta bien visto tomar merca? [INSULTO],NEGATIVE,te pensas que esta bien visto tomar merca? [INSULTO]
unas ganas de tomar falopa keta tussi inyectarme heroina empastarme no sé algo que me haga sentir alguna emoción porq esoty modo zombie emocionalmente,POSITIVE,unas ganas de tomar falopa keta tussi inyectarme heroina empastarme no sé algo que me haga sentir alguna emoción porq esoty modo zombie emocionalmente
"Necesito éxtasis, te necesito a ti.",NEGATIVE,"necesito éxtasis, te necesito a ti."
Necesito Éxtasis,POSITIVE,necesito éxtasis
"Un porro quiero, un porro",POSITIVE,"un porro quiero, un porro"
Uno se acaba de tomar una línea atrás meío en el colectivo y adivinen son gastronómicos,NEGATIVE,uno se acaba de tomar una línea atrás meío en el colectivo y adivinen son gastronómicos
"No necesito extasis para disfrutar de la musica electronica, con solo escucharla entro en estado extasis",NEGATIVE,"no necesito extasis para disfrutar de la musica electronica, con solo escucharla entro en estado extasis"
Por suerte ver Pulp Fiction me da ganas de tomar milkshake y no de inyectarme heroína.,NEGATIVE,por suerte ver pulp fiction me da ganas de tomar milkshake y no de inyectarme heroína.
tiran la piedra y esconden la mano ni les dió para tomar una línea y un par de birras,POSITIVE,tiran la piedra y esconden la mano ni les dió para tomar una línea y un par de birras
"Nuestro cariño y respeto a toda la población del estado de Jalisco. 
Se tomó una mala decisión al momento de elegir a  para un cargo que sobradamente le queda grande. 
Inmerecido llamarlo gobernador. 
Es un porro, un agitador.",NEGATIVE,"nuestro cariño y respeto a toda la población del estado de jalisco. se tomó una mala decisión al momento de elegir a para un cargo que sobradamente le queda grande. inmerecido llamarlo gobernador. es un porro, un agitador."
DIOS MIO NECESITO INYECTARME HEROINA NO PUEDO CON ESTE SUFRIMIENTO NO PUEDO MAMA PERDON POR ESTA VIDA LOCA [PERSONA] TE AMO PAPAS DIVORCIADOS TAYLOR CHIQUITA BEBE HERMOSA SOS MIA,POSITIVE,dios mio necesito inyectarme heroina no puedo con este sufrimiento no puedo mama perdon por esta vida loca [PERSONA] te amo papas divorciados taylor chiquita bebe hermosa sos mia
quiero tomarme una linea con mateo,POSITIVE,quiero tomarme una linea con mateo
"por el bien de ambas partes, se debe de tomar una linea a seguir para evitar los problemas que hay hoy en deía",NEGATIVE,"por el bien de ambas partes, se debe de tomar una linea a seguir para evitar los problemas que hay hoy en deía"
Necesito tener un descanso y tomar una linea.,POSITIVE,necesito tener un descanso y tomar una linea.
Fumar es malo pero Tomar merca es peor. ah,NEGATIVE,fumar es malo pero tomar merca es peor. ah
"Si no hay tiempo para debatir idioteces ,nuestro paraís está en un hoyo, del cual ,a futuro estaremos en las mismas situación es de tomar ,una línea de resarcir los daños colaterales de todo este pasado incluyendo esta [DISCRIMINACION] pesadilla de este dictador de pacotilla.",NEGATIVE,"si no hay tiempo para debatir idioteces ,nuestro paraís está en un hoyo, del cual ,a futuro estaremos en las mismas situación es de tomar ,una línea de resarcir los daños colaterales de todo este pasado incluyendo esta [DISCRIMINACION] pesadilla de este dictador de pacotilla."
Hoy esta como para un porro y una guama,POSITIVE,hoy esta como para un porro y una guama
Mi cara de siesa siempre presente. Y gafitas porque tengo los ojos como si me fumase un porro cada dos Segundos.,NEGATIVE,mi cara de siesa siempre presente. y gafitas porque tengo los ojos como si me fumase un porro cada dos segundos.
Yo solo quiero un porro woo,POSITIVE,yo solo quiero un porro [PERSONA]
como olvidar cuando keana le regaló un porro a [PERSONA] por su cumpleaños.,NEGATIVE,como olvidar cuando [PERSONA] le regaló un porro a [PERSONA] por su cumpleaños.
No me inviten a inyectarme heroina invitenme a ver un show de magia,NEGATIVE,no me inviten a inyectarme heroina invitenme a ver un show de magia
"LG: ""No moriré de tomar una linea de la cabeza de alguien o beber un estúpido trago. Moriré de vivir y respirar y estar en una banda""",NEGATIVE,"lg: ""no moriré de tomar una linea de la cabeza de alguien o beber un estúpido trago. moriré de vivir y respirar y estar en una banda"""
A veces me gusta inyectarme heroína. 🚀,POSITIVE,a veces me gusta inyectarme heroína. :cohete:
"qué os sale si ponéis --->
tengo ganas de.... tengo ganas de echarme un porro",POSITIVE,qué os sale si ponéis ---> tengo ganas de.... tengo ganas de echarme un porro
"Creo que nadie nunca dijo  ""yo voy a tomar merca de grande""",NEGATIVE,"creo que nadie nunca dijo ""yo voy a tomar merca de grande"""
No sabia que era tan común o socialmente aceptable tomar merca😳,NEGATIVE,no sabia que era tan común o socialmente aceptable tomar merca :cara_sonrojada:
Rivadavia y Lavalle .. están armando un árbol de Navidad con botellas de cerveza de vidrio...faltaría el papá Noel con un porro en la boca y un fierro en la cintura.... [SEXUAL] new york...,NEGATIVE,rivadavia y lavalle .. están armando un árbol de navidad con botellas de cerveza de vidrio...faltaría el papá [PERSONA] con un porro en la boca y un fierro en la cintura.... [SEXUAL] new york...
¿En serio hay gente que le da risa las cuentas de humor gay? prefiero inyectarme heroina antes que ver otra de esas cuentas,NEGATIVE,¿en serio hay gente que le da risa las cuentas de humor gay? prefiero inyectarme heroina antes que ver otra de esas cuentas
está literalmente haciendo sudokus fumándose un porro en mi cuarto,NEGATIVE,está literalmente haciendo sudokus fumándose un porro en mi cuarto
. en  sobre la despenalización y legalización de la marihuana: “NO ES EL CAMINO SOMETER A PROCESOS A CHICOS QUE TENGAN UN porro”.,NEGATIVE,. en sobre la despenalización y legalización de la marihuana: “no es el camino someter a procesos a chicos que tengan un porro”.
"“En España tenemos la imagen de que consumir cannabis es fumar un porro y no es así. En EEUU el año pasado la flor fumada se redujo a un 25-30% del total del consumo de cannabis. El 70-75% se consume de otra manera: vaporizado, ingerido o de uso teópico”. …",NEGATIVE,"“en españa tenemos la imagen de que consumir cannabis es fumar un porro y no es así. en eeuu el año pasado la flor fumada se redujo a un 25-30% del total del consumo de cannabis. el 70-75% se consume de otra manera: vaporizado, ingerido o de uso teópico”. …"
"Ante la negativa de las autoridades a hacer públicos los crímenes, Lüdtke se ve obligado a tomar una línea de acción meás discreta y con meétodos inusuales.

Los agentes de la Kripo patrullan la línea de tren de Karlshorst vestidos de paisano.",NEGATIVE,"ante la negativa de las autoridades a hacer públicos los crímenes, [PERSONA] se ve obligado a tomar una línea de acción meás discreta y con meétodos inusuales. los agentes de la kripo patrullan la línea de tren de karlshorst vestidos de paisano."
"Hoy TE ponen una pastilla en la copa y te manipulan como quieren,ya que ella era de consumir,
La convencen de tomar una línea y luego la pueden redrogar.
Ella no era [INSULTO] para tomar tanta droga.",NEGATIVE,"hoy te ponen una pastilla en la copa y te manipulan como quieren,ya que ella era de consumir, la convencen de tomar una línea y luego la pueden redrogar. ella no era [INSULTO] para tomar tanta droga."
El chacho antes de salir a la cancha se debe tomar una línea larga como la camilla  del vestuario,NEGATIVE,el chacho antes de salir a la cancha se debe tomar una línea larga como la camilla del vestuario
Que son estas ganas inmensas de inyectarme heroina?,POSITIVE,que son estas ganas inmensas de inyectarme heroina?
"Recordé al [PERSONA], cuando decía que no estaba esperando la legalización de droga para ""ahora sí ir a inyectarme heroína""",NEGATIVE,"recordé al [PERSONA], cuando decía que no estaba esperando la legalización de droga para ""ahora sí ir a inyectarme heroína"""
"[PERSONA], un porro octagenario ?artid=47605&cat=66#.YFM_dhhgvmc.twitter…",NEGATIVE,"[PERSONA], un porro octagenario ?artid=47605&cat=66#.yfm_dhhgvmc.twitter…"
pareciera que se estaba armando un porro,NEGATIVE,pareciera que se estaba armando un porro
Vamos a tomar una línea?,POSITIVE,vamos a tomar una línea?
"Buenas. Hace 3 años voy a ciudad universitaria, mi hermano hace 4 años. Jamas pudimos tomar una linea que nos deje",NEGATIVE,"buenas. hace 3 años voy a ciudad universitaria, mi hermano hace 4 años. jamas pudimos tomar una linea que nos deje"
"Fumo porro, palabras meás palabras menos, desde que tengo 16. Y con intermitencia y períodos en los que no. Nunca se me hubiese ocurrido tomar una raya de la [DISCRIMINACION]. Le tengo TERROR.",POSITIVE,"fumo porro, palabras meás palabras menos, desde que tengo 16. y con intermitencia y períodos en los que no. nunca se me hubiese ocurrido tomar una raya de la [DISCRIMINACION]. le tengo terror."
"Cuando el aleatorio pone las canciones de Trainspotting casi, casi, me dan ganas de inyectarme heroína.",NEGATIVE,"cuando el aleatorio pone las canciones de trainspotting casi, casi, me dan ganas de inyectarme heroína."
Nunca voy a cumplir mi sueño de inyectarme heroína con [PERSONA],POSITIVE,nunca voy a cumplir mi sueño de inyectarme heroína con [PERSONA]
Tengo todos pinchados los brazos. Le estoy haciendo creer a la gente que me dio ganas de inyectarme heroína.,NEGATIVE,tengo todos pinchados los brazos. le estoy haciendo creer a la gente que me dio ganas de inyectarme heroína.
Llevar a casa y encerrarme en mi cuarto. Tirar todo en la cama y con las manos temblorosas inyectarme heroína.,POSITIVE,llevar a casa y encerrarme en mi cuarto. tirar todo en la cama y con las manos temblorosas inyectarme heroína.
Ayer me enfiesté cabron y a media noche se me ocurrió prender un porro mamalon en el antro,POSITIVE,ayer me enfiesté cabron y a media noche se me ocurrió prender un porro mamalon en el antro
Unas ganas de tomar merca y jugar a la loba,POSITIVE,unas ganas de tomar merca y jugar a la loba
Necesito éxtasis para esta noche,POSITIVE,necesito éxtasis para esta noche
"O sea, vean esa cara de ""aprendí a inyectarme heroína a los 13 años"" (??? Yo no entiendo https://",NEGATIVE,"o sea, vean esa cara de ""aprendí a inyectarme heroína a los 13 años"" (??? yo no entiendo"
Necesito inyectarme heroina y desaparecer del mundo,POSITIVE,necesito inyectarme heroina y desaparecer del mundo
"Escuchar born to die, ultraviolence y pure heroine me dan ganas de inyectarme heroína en el ojo.",NEGATIVE,"escuchar born to die, ultraviolence y pure heroine me dan ganas de inyectarme heroína en el ojo."
"Dios, necesito éxtasis para seguir estudiando.",POSITIVE,"dios, necesito éxtasis para seguir estudiando."
Lo único que me falta es inyectarme heroína y ser escocesa y estoy calcada para estar ahí .___.,NEGATIVE,lo único que me falta es inyectarme heroína y ser escocesa y estoy calcada para estar ahí .___.
No vuelvo a inyectarme heroína :( http://,POSITIVE,no vuelvo a inyectarme heroína :(
"""No es posible tomar una línea política y asumir(la) como solución absoluta para el universo de individualidades... http://",NEGATIVE,"""no es posible tomar una línea política y asumir(la) como solución absoluta para el universo de individualidades..."
"mi plan favorito es apagar las luces de mi cuarto, abrir la ventana y fumarme un porro escuchando meúsica mientras veo esta maravilla de ciudad",POSITIVE,"mi plan favorito es apagar las luces de mi cuarto, abrir la ventana y fumarme un porro escuchando meúsica mientras veo esta maravilla de ciudad"
"Amiga se despierta me mira y dice ""necesito tomar una linea de merca"" bueno",NEGATIVE,"amiga se despierta me mira y dice ""necesito tomar una linea de merca"" bueno"
Que ganas de inyectarme heroína.,POSITIVE,que ganas de inyectarme heroína.
"Esta soy yo, feliz, despeinada y sin depilar fumándome un porro en la playa",POSITIVE,"esta soy yo, feliz, despeinada y sin depilar fumándome un porro en la playa"
"salir de lo que me encierra y correr hacia lo que me asesina es como dejar el cigarillo para inyectarme heroína, es ilógico",NEGATIVE,"salir de lo que me encierra y correr hacia lo que me asesina es como dejar el cigarillo para inyectarme heroína, es ilógico"
"Cuando escucho Manu chao , me da por inyectarme heroína y jugar a la ruleta rusa , porque será ?",NEGATIVE,"cuando escucho [PERSONA] , me da por inyectarme heroína y jugar a la ruleta rusa , porque será ?"
nos estamos fumando un porro en un cantero de malvin y una señora salió a escracharnos sacándonos fotos,POSITIVE,nos estamos fumando un porro en un cantero de [PERSONA] y una señora salió a escracharnos sacándonos fotos
"Muerde a un guardia civil al recriminarle que se ponga la mascarilla en Ejea de los Caballeros #Sucesos#Sucesos http://twib.in/l/aGkqdqXybox6http:// Muerde a un guardia civil y lesiona un dedo a otro cuando estos le recriminaron que fuera sin mascarilla y fumandose un porro por Ejea de los Caballeros (Zgz) 

Un policía local de Tauste (Zgz) , fuera de servicio, auxilió a los agentes junto a tres patrullas de",NEGATIVE,"muerde a un guardia civil al recriminarle que se ponga la mascarilla en ejea de los caballeros #sucesos#sucesos muerde a un guardia civil y lesiona un dedo a otro cuando estos le recriminaron que fuera sin mascarilla y fumandose un porro por ejea de los caballeros (zgz) un policía local de tauste (zgz) , fuera de servicio, auxilió a los agentes junto a tres patrullas de"
"en este momento necesito extasis para´volar flotar bn lejos, aunke sea por un rato",POSITIVE,"en este momento necesito extasis para´volar flotar bn lejos, [PERSONA] sea por un rato"
Mientras yo exista tu siempre vas a tener con quién fumarte un porro,POSITIVE,mientras yo exista tu siempre vas a tener con quién fumarte un porro
Voy a tomar merca,POSITIVE,voy a tomar merca
Mañana voy a tener que inyectarme heroína para sobrevivir a las 3 horas de Geografía,NEGATIVE,mañana voy a tener que inyectarme heroína para sobrevivir a las 3 horas de geografía
La frustración de [PERSONA] es tan notoria que no pierde oportunidad para escupir su bilis. Pasó de ser un alto funcionario corrupto a un porro desempleado a la caza de algo que lo saque de su miseria. Eso es lo que proyecta en cada twit o cuando algún cazaraiting le da foro.,NEGATIVE,la frustración de [PERSONA] es tan notoria que no pierde oportunidad para escupir su bilis. pasó de ser un alto funcionario corrupto a un porro desempleado a la caza de algo que lo saque de su miseria. eso es lo que proyecta en cada twit o cuando algún cazaraiting le da foro.
Esta noche me voy a tener que tomar una línea para estar atr,POSITIVE,esta noche me voy a tener que tomar una línea para estar atr
por te ofrece un porro 😳Aceptarías?,NEGATIVE,por te ofrece un porro :cara_sonrojada: aceptarías?
